Rider;1st;2nd;3rd;GC;POINTS;KOM;YOUTH
VALLET Bernard ;0;0;0;0;0;1;0
ANDERSON Phil ;0;0;0;0;0;0;1
HOSTE Frank ;0;0;0;0;1;0;0
MILLAR Robert ;0;0;0;0;0;1;0
HERRERA Luis Alberto ;0;0;0;0;0;2;0
PARRA Fabio Enrique ;0;0;0;0;0;0;1
VANDERAERDEN Eric ;0;0;0;0;1;0;0
HAMPSTEN Andrew ;0;0;0;0;0;0;1
VAN POPPEL Jean-Paul ;0;0;0;0;1;0;0
ALCALÁ Raúl ;0;0;0;0;0;0;1
PLANCKAERT Eddy ;0;0;0;0;1;0;0
ROOKS Steven ;0;0;0;0;0;1;0
BREUKINK Erik ;0;0;0;0;0;0;1
THEUNISSE Gert-Jan ;0;0;0;0;0;1;0
PHILIPOT Fabrice ;0;0;0;0;0;0;1
LUDWIG Olaf ;0;0;0;0;1;0;0
CLAVEYROLAT Thierry ;0;0;0;0;0;1;0
DELION Gilles ;0;0;0;0;0;0;1
ABDUZHAPAROV Djamolidine ;0;0;0;0;3;0;0
CHIAPPUCCI Claudio ;0;0;0;0;0;2;0
MEJIA Alvaro ;0;0;0;0;0;0;1
JALABERT Laurent ;0;0;0;0;2;2;0
BOUWMANS Eddy ;0;0;0;0;0;0;1
ROMINGER Tony ;0;0;0;0;0;1;0
MARTÍN Antonio ;0;0;0;0;0;0;1
VIRENQUE Richard ;0;0;0;0;0;7;0
ZABEL Erik ;0;0;0;0;6;0;0
RINERO Christophe ;0;0;0;0;0;1;0
SALMON Benoît ;0;0;0;0;0;0;1
BOTERO Santiago ;0;0;0;0;0;1;0
MANCEBO Francisco ;0;0;0;0;0;0;1
SEVILLA Óscar ;0;0;0;0;0;0;1
MCEWEN Robbie ;0;0;0;0;3;0;0
BASSO Ivan ;0;0;0;0;0;0;1
COOKE Baden ;0;0;0;0;1;0;0
MENCHOV Denis ;0;0;0;0;0;0;1
KARPETS Vladimir ;0;0;0;0;0;0;1
HUSHOVD Thor ;0;0;0;0;2;0;0
RASMUSSEN Michael ;0;0;0;0;0;2;0
POPOVYCH Yaroslav ;0;0;0;0;0;0;1
CUNEGO Damiano ;0;0;0;0;0;0;1
BOONEN Tom ;0;0;0;0;1;0;0
SOLER Juan Mauricio ;0;0;0;0;0;1;0
FREIRE Óscar ;0;0;0;0;1;0;0
KOHL Bernhard ;0;0;0;0;0;1;0
SCHLECK Andy ;0;0;0;0;0;0;3
PELLIZOTTI Franco ;0;0;0;0;0;1;0
PETACCHI Alessandro ;0;0;0;0;1;0;0
CHARTEAU Anthony ;0;0;0;0;0;1;0
CAVENDISH Mark ;0;0;0;0;2;0;0
SÁNCHEZ Samuel ;0;0;0;0;0;1;0
ROLLAND Pierre ;0;0;0;0;0;0;1
SAGAN Peter ;0;0;0;0;7;0;0
VOECKLER Thomas ;0;0;0;0;0;1;0
VAN GARDEREN Tejay ;0;0;0;0;0;0;1
QUINTANA Nairo ;0;0;0;0;0;1;2
MAJKA Rafał ;0;0;0;0;0;2;0
PINOT Thibaut ;0;0;0;0;0;0;1
YATES Adam ;0;0;0;0;0;0;1
MATTHEWS Michael ;0;0;0;0;1;0;0
BARGUIL Warren ;0;0;0;0;0;1;0
YATES Simon ;0;0;0;0;0;0;1
ALAPHILIPPE Julian ;0;0;0;0;0;1;0
LATOUR Pierre ;0;0;0;0;0;0;1
BARDET Romain ;0;0;0;0;0;1;0
BENNETT Sam ;0;0;0;0;1;0;0
VAN AERT Wout ;0;0;0;0;1;0;0
PHILIPSEN Jasper ;0;0;0;0;1;0;0
CICCONE Giulio ;0;0;0;0;0;1;0
GIRMAY Biniam ;0;0;0;0;1;0;0
CARAPAZ Richard ;0;0;0;0;0;1;0
EVENEPOEL Remco ;0;0;0;0;0;0;1
