Rider;1st;2nd;3rd;GC;POINTS;KOM;YOUTH
EWAN Caleb;5;3;4;0;0;0;0
DUBOC Paul;5;3;2;0;0;0;0
JIMÉNEZ Julio;5;3;2;0;0;0;0
KOBLET Hugo;5;2;2;0;0;0;0
BAFFI Pierino;5;2;2;0;0;0;0
MARTIN Hector;5;1;2;0;0;0;0
HOSTE Frank;5;1;1;0;0;0;0
LEMAN Eric;5;0;1;0;0;0;0
TEIRLINCK Willy;5;0;1;0;0;0;0
RIVIÈRE Roger;5;0;0;0;0;0;0
VINGEGAARD Jonas;4;10;4;0;0;0;0
KRISTOFF Alexander;4;9;8;0;0;0;0
VAN LINDEN Rik;4;9;3;0;0;0;0
DELGADO Pedro;4;8;10;0;0;0;0
BAUVIN Gilbert;4;7;6;0;0;0;0
NENCINI Gastone;4;5;7;0;0;0;0
FREIRE Óscar;4;5;6;0;0;0;0
MATTHEWS Michael;4;5;2;0;0;0;0
MAES Romain;4;5;1;0;0;0;0
JALABERT Laurent;4;4;6;0;0;0;0
BENOÎT Adelin;4;4;5;0;0;0;0
FORESTIER Jean;4;4;4;0;0;0;0
KIRSIPUU Jaan;4;4;4;0;0;0;0
RIIS Bjarne;4;4;3;0;0;0;0
VAN SLEMBROUCK Gustave;4;4;1;0;0;0;0
WAGTMANS Wout;4;4;1;0;0;0;0
BUGNO Gianni;4;3;7;0;0;0;0
BREUKINK Erik;4;3;2;0;0;0;0
KONYSHEV Dmitry;4;3;1;0;0;0;0
PINGEON Roger;4;2;6;0;0;0;0
REBRY Gaston;4;2;5;0;0;0;0
BLIJLEVENS Jeroen;4;2;5;0;0;0;0
CRUPELANDT Charles;4;2;3;0;0;0;0
WILLEMS Daniel;4;2;3;0;0;0;0
TEISSEIRE Lucien;4;2;2;0;0;0;0
PRIVAT René;4;2;1;0;0;0;0
BITOSSI Franco;4;2;1;0;0;0;0
VOECKLER Thomas;4;2;1;0;0;0;0
CAZALA Robert;4;2;0;0;0;0;0
BARDET Romain;4;1;6;0;0;0;0
MILLAR David;4;1;2;0;0;0;0
SÁNCHEZ Luis León;4;1;2;0;0;0;0
JACQUINOT Robert;4;1;1;0;0;0;0
VAN STEENBERGEN Rik;4;1;1;0;0;0;0
DAEMS Emile;4;1;1;0;0;0;0
CHOZAS Eduardo;4;1;1;0;0;0;0
RASMUSSEN Michael;4;1;1;0;0;0;0
PAUWELS Eddy;4;0;1;0;0;0;0
DEKKER Erik;4;0;1;0;0;0;0
FÉDRIGO Pierrick;4;0;1;0;0;0;0
ROSSEEL André;4;0;0;0;0;0;0
MATTHIJS Rudy;4;0;0;0;0;0;0
OCKERS Stan;3;16;18;0;0;0;0
SELLIER Félix;3;9;9;0;0;0;0
BOASSON HAGEN Edvald;3;7;9;0;0;0;0
BONDUEL Frans;3;7;8;0;0;0;0
CONTADOR Alberto;3;7;4;0;0;0;0
LUCOTTI Luigi Natale;3;7;1;0;0;0;0
HERRERA Luis Alberto;3;7;0;0;0;0;0
ROCHE Stephen;3;6;6;0;0;0;0
WRIGHT Michael;3;6;3;0;0;0;0
PINOT Thibaut;3;6;1;0;0;0;0
LUDWIG Olaf;3;5;7;0;0;0;0
PEETERS Ludo;3;5;5;0;0;0;0
FRÉCHAUT Jean;3;5;4;0;0;0;0
ROMINGER Tony;3;5;4;0;0;0;0
VERHAEGEN Pé;3;5;1;0;0;0;0
QUINTANA Nairo;3;5;1;0;0;0;0
DUMOULIN Tom;3;5;0;0;0;0;0
VALVERDE Alejandro;3;4;8;0;0;0;0
CHRISTOPHE Eugène;3;4;6;0;0;0;0
POLLENTIER Michel;3;4;6;0;0;0;0
DEMUYSERE Joseph;3;3;7;0;0;0;0
SVORADA Ján;3;3;5;0;0;0;0
ROGLIČ Primož;3;3;4;0;0;0;0
THOMAS Geraint;3;3;2;0;0;0;0
IMPANIS Raymond;3;3;1;0;0;0;0
KUIPER Hennie;3;3;1;0;0;0;0
MINALI Nicola;3;3;0;0;0;0;0
VAN EST Wim;3;2;4;0;0;0;0
MOTTET Charly;3;2;4;0;0;0;0
MAJKA Rafał;3;2;4;0;0;0;0
BULLA Max;3;2;3;0;0;0;0
LAUREDI Nello;3;2;3;0;0;0;0
BRUNI Dino;3;2;3;0;0;0;0
CHIAPPUCCI Claudio;3;2;3;0;0;0;0
RODRÍGUEZ Joaquim;3;2;3;0;0;0;0
CAMUSSO Francesco;3;2;2;0;0;0;0
BERNARD Jean-François;3;2;2;0;0;0;0
MOINEAU Julien;3;2;1;0;0;0;0
LUBBERDING Henk;3;2;1;0;0;0;0
GIRMAY Biniam;3;2;1;0;0;0;0
VILLEMIANE Pierre-Raymond;3;2;0;0;0;0;0
MILLAR Robert;3;2;0;0;0;0;0
BOTERO Santiago;3;2;0;0;0;0;0
DOSSCHE Aimé;3;1;4;0;0;0;0
DIEDERICH Bim;3;1;4;0;0;0;0
WAGTMANS Rini;3;1;4;0;0;0;0
SCHLECK Andy;3;1;4;0;0;0;0
VAN DAM Joseph;3;1;2;0;0;0;0
GRAF Rolf;3;1;2;0;0;0;0
POBLET Miguel;3;1;2;0;0;0;0
LÓPEZ Vicente;3;1;2;0;0;0;0
VAN DER VELDE Johan;3;1;2;0;0;0;0
CORRIERI Giovanni;3;1;1;0;0;0;0
OOSTERBOSCH Bert;3;1;1;0;0;0;0
CLÈRE Régis;3;1;1;0;0;0;0
MANZANEQUE Fernando;3;1;0;0;0;0;0
GENET Jean-Pierre;3;1;0;0;0;0;0
VERSCHUERE Pol;3;1;0;0;0;0;0
BOARDMAN Chris;3;1;0;0;0;0;0
COSTA Rui;3;1;0;0;0;0;0
SPRUYT Jos;3;0;3;0;0;0;0
CHAVANEL Sylvain;3;0;3;0;0;0;0
WINNEN Peter;3;0;2;0;0;0;0
TRENTIN Matteo;3;0;2;0;0;0;0
DE ROO Jo;3;0;1;0;0;0;0
DURAND Jacky;3;0;1;0;0;0;0
MOHORIČ Matej;3;0;1;0;0;0;0
DUSSAULT Marcel;3;0;0;0;0;0;0
IGNOLIN Guy;3;0;0;0;0;0;0
VAN VLIERBERGHE Albert;3;0;0;0;0;0;0
DA SILVA Acácio;3;0;0;0;0;0;0
CASAR Sandy;2;7;4;0;0;0;0
ZÜLLE Alex;2;7;1;0;0;0;0
O'GRADY Stuart;2;6;9;0;0;0;0
PADOVAN Arrigo;2;6;4;0;0;0;0
MUSEEUW Johan;2;5;7;0;0;0;0
VOORTING Gerrit;2;5;3;0;0;0;0
MARTIN Dan;2;5;1;0;0;0;0
PÉLISSIER Francis;2;5;0;0;0;0;0
VAN DE CASTEELE Camille;2;4;3;0;0;0;0
MONCASSIN Frédéric;2;4;3;0;0;0;0
CAPUT Louis;2;4;2;0;0;0;0
BINDA Alfredo;2;4;1;0;0;0;0
ALCALÁ Raúl;2;4;1;0;0;0;0
YATES Simon;2;4;1;0;0;0;0
MARTÍNEZ Mariano;2;3;4;0;0;0;0
AIMO Bartolomeo;2;3;3;0;0;0;0
VERVAECKE Julien;2;3;3;0;0;0;0
NOLTEN Jan;2;3;3;0;0;0;0
VAN AVERMAET Greg;2;3;3;0;0;0;0
VISSERS Edward;2;3;2;0;0;0;0
ROLLAND Antonin;2;3;2;0;0;0;0
MEUNIER Georges;2;3;2;0;0;0;0
BATTISTINI Graziano;2;3;2;0;0;0;0
GHIROTTO Massimo;2;3;2;0;0;0;0
VAN SCHENDEL Antoon;2;3;1;0;0;0;0
SERVADEI Glauco;2;3;1;0;0;0;0
RUIZ Bernardo;2;3;1;0;0;0;0
ARROYO Angel;2;3;1;0;0;0;0
HEUSGHEM Louis;2;3;0;0;0;0;0
