Rider;1st;2nd;3rd;4th;5th;GC;POINTS;KOM;YOUTH
CORRIERI Giovanni;3;1;1;2;0;0;0;0;0
OOSTERBOSCH Bert;3;1;1;1;0;0;0;0;0
CLÈRE Régis;3;1;1;0;2;0;0;0;0
MANZANEQUE Fernando;3;1;0;1;2;0;0;0;0
BOARDMAN Chris;3;1;0;1;2;0;0;0;0
GENET Jean-Pierre;3;1;0;1;1;0;0;0;0
COSTA Rui;3;1;0;0;1;0;0;0;0
VERSCHUERE Pol;3;1;0;0;0;0;0;0;0
CHAVANEL Sylvain;3;0;3;2;3;0;0;0;0
SPRUYT Jos;3;0;3;2;0;0;0;0;0
WINNEN Peter;3;0;2;0;3;0;0;0;1
TRENTIN Matteo;3;0;2;0;2;0;0;0;0
DE ROO Jo;3;0;1;2;3;0;0;0;0
DURAND Jacky;3;0;1;0;2;0;0;0;0
MOHORIČ Matej;3;0;1;0;0;0;0;0;0
IGNOLIN Guy;3;0;0;0;1;0;0;0;0
DA SILVA Acácio;3;0;0;0;1;0;0;0;0
DUSSAULT Marcel;3;0;0;0;0;0;0;0;0
VAN VLIERBERGHE Albert;3;0;0;0;0;0;0;0;0
CASAR Sandy;2;7;4;0;1;0;0;0;0
ZÜLLE Alex;2;7;1;3;2;0;0;0;0
O'GRADY Stuart;2;6;9;5;7;0;0;0;0
PADOVAN Arrigo;2;6;4;1;1;0;0;0;0
MUSEEUW Johan;2;5;7;1;4;0;0;0;0
VOORTING Gerrit;2;5;3;3;1;0;0;0;0
MARTIN Dan;2;5;1;3;2;0;0;0;0
PÉLISSIER Francis;2;5;0;3;2;0;0;0;0
MONCASSIN Frédéric;2;4;3;7;3;0;0;0;0
VAN DE CASTEELE Camille;2;4;3;2;3;0;0;0;0
CAPUT Louis;2;4;2;1;2;0;0;0;0
ALCALÁ Raúl;2;4;1;1;3;0;0;0;1
YATES Simon;2;4;1;1;2;0;0;0;1
BINDA Alfredo;2;4;1;1;0;0;0;0;0
MARTÍNEZ Mariano;2;3;4;1;2;0;0;1;0
VAN AVERMAET Greg;2;3;3;9;4;0;0;0;0
VERVAECKE Julien;2;3;3;4;5;0;0;0;0
NOLTEN Jan;2;3;3;1;1;0;0;0;0
AIMO Bartolomeo;2;3;3;0;2;0;0;0;0
ROLLAND Antonin;2;3;2;5;1;0;0;0;0
GHIROTTO Massimo;2;3;2;1;2;0;0;0;0
VISSERS Edward;2;3;2;0;6;0;0;0;0
MEUNIER Georges;2;3;2;0;3;0;0;0;0
BATTISTINI Graziano;2;3;2;0;1;0;0;0;0
RUIZ Bernardo;2;3;1;2;0;0;0;0;0
VAN SCHENDEL Antoon;2;3;1;1;1;0;0;0;0
SERVADEI Glauco;2;3;1;1;0;0;0;0;0
ARROYO Angel;2;3;1;1;0;0;0;0;0
HEUSGHEM Louis;2;3;0;2;2;0;0;0;0
IZAGIRRE Ion;2;3;0;1;0;0;0;0;0
SASTRE Carlos;2;3;0;0;3;1;0;0;0
LONCKE Gérard;2;3;0;0;0;0;0;0;0
PLANCKAERT Eddy;2;2;8;8;3;0;1;0;0
VAN AERDE Michel;2;2;6;2;5;0;0;0;0
ANDERSON Phil;2;2;5;11;4;0;0;0;1
DÉMARE Arnaud;2;2;5;2;2;0;0;0;0
DEMEYER Marc;2;2;4;2;3;0;0;0;0
SANTAMBROGIO Giacinto;2;2;4;1;2;0;0;0;0
MORELLI Ambrogio Enrico;2;2;3;5;8;0;0;0;0
BIDOT Marcel;2;2;3;3;3;0;0;0;0
PAUL Ernest;2;2;3;3;1;0;0;0;0
DE WILDE Etienne;2;2;2;4;3;0;0;0;0
SCHÄR Fritz;2;2;2;4;2;0;1;0;0
PEDERSEN Mads;2;2;2;2;4;0;0;0;0
VOIGT Jens;2;2;2;2;2;0;0;0;0
ROOKS Steven;2;2;2;1;5;0;0;1;0
PLANCKAERT Willy;2;2;2;1;2;0;1;0;0
CARLESI Guido;2;2;2;0;2;0;0;0;0
GODIVIER Marcel;2;2;1;4;5;0;0;0;0
RÉMY Raoul;2;2;1;3;2;0;0;0;0
MOSER Francesco;2;2;1;2;2;0;0;0;1
SCIARDIS Gino;2;2;1;2;1;0;0;0;0
BENNETT Sam;2;2;1;2;0;0;1;0;0
MCGEE Bradley;2;2;1;1;0;0;0;0;0
JAMINET Pierre;2;2;1;0;6;0;0;0;0
FANTINI Alessandro;2;2;1;0;1;0;0;0;0
NAZON Jean-Patrick;2;2;1;0;1;0;0;0;0
GAVIRIA Fernando;2;2;1;0;1;0;0;0;0
DE WITTE Ronald;2;2;1;0;0;0;0;0;0
BRACKE Ferdinand;2;2;0;5;3;0;0;0;0
BRANKART Jean;2;2;0;4;1;0;0;0;0
ROLLAND Pierre;2;2;0;1;2;0;0;0;1
LOUYET Léon;2;2;0;0;1;0;0;0;0
ETXEBARRIA David;2;2;0;0;1;0;0;0;0
RICHARD Pascal;2;2;0;0;0;0;0;0;0
HEUSGHEM Hector;2;1;12;6;7;0;0;0;0
GROSSKOST Charly;2;1;5;0;1;0;0;0;0
KWIATKOWSKI Michał;2;1;4;3;1;0;0;0;0
THALER Klaus-Peter;2;1;3;5;5;0;0;0;0
WOLFSHOHL Rolf;2;1;3;4;3;0;0;0;0
BENNATI Daniele;2;1;3;4;3;0;0;0;0
MOLLEMA Bauke;2;1;3;3;1;0;0;0;0
VAN RYCKEGHEM Daniel;2;1;3;2;5;0;0;0;0
WIGGINS Bradley;2;1;3;2;2;1;0;0;0
NIJDAM Henk;2;1;3;2;1;0;0;0;0
GOLDSCHMIT Jean;2;1;3;2;0;0;0;0;0
WELLENS Paul;2;1;3;1;0;0;0;0;0
AMBERG Leo;2;1;3;0;4;0;0;0;0
DELEDDA Adolphe;2;1;3;0;1;0;0;0;0
LEBLANC Luc;2;1;2;4;1;0;0;0;0
SCHLECK Fränk;2;1;2;2;2;0;0;0;0
DE GENDT Thomas;2;1;2;1;1;0;0;0;0
CAMELLINI Fermo;2;1;2;1;0;0;0;0;0
LAMBRECHT Roger;2;1;2;0;3;0;0;0;0
LAPÉBIE Guy;2;1;2;0;0;0;0;0;0
JANSSENS Marcel;2;1;2;0;0;0;0;0;0
