Rider;1st;2nd;3rd;4th;5th;GC;POINTS;KOM;YOUTH
SEGU José;0;0;1;0;1;0;0;0;0
BOULOUX Robert;0;0;1;0;1;0;0;0;0
WESEMAEL Wilfried;0;0;1;0;1;0;0;0;0
BARONCHELLI Gianbattista;0;0;1;0;1;0;0;0;0
RICCOMI Walter;0;0;1;0;1;0;0;0;0
VANOVERSCHELDE Didier;0;0;1;0;1;0;0;0;0
MADIOT Yvon;0;0;1;0;1;0;0;0;0
JURČO Milan;0;0;1;0;1;0;0;0;0
PULNIKOV Vladimir;0;0;1;0;1;0;0;0;0
GAUMONT Philippe;0;0;1;0;1;0;0;0;0
HORRILLO Pedro;0;0;1;0;1;0;0;0;0
FÖRSTER Robert;0;0;1;0;1;0;0;0;0
NAPOLITANO Danilo;0;0;1;0;1;0;0;0;0
HUTAROVICH Yauheni;0;0;1;0;1;0;0;0;0
TAARAMÄE Rein;0;0;1;0;1;0;0;0;0
NIEVE Mikel;0;0;1;0;1;0;0;0;0
KÖNIG Leopold;0;0;1;0;1;0;0;0;0
ANACONA Winner;0;0;1;0;1;0;0;0;0
MCLAY Daniel;0;0;1;0;1;0;0;0;0
KRUIJSWIJK Steven;0;0;1;0;1;0;0;0;0
BONIFAZIO Niccolò;0;0;1;0;1;0;0;0;0
HIGUITA Sergio;0;0;1;0;1;0;0;0;0
PEDERSEN Casper;0;0;1;0;1;0;0;0;0
JOHANNESSEN Tobias Halland;0;0;1;0;1;0;0;0;0
FREDERICK Michel;0;0;1;0;0;0;0;0;0
AZZINI Luigi;0;0;1;0;0;0;0;0;0
LÉONARD Edouard;0;0;1;0;0;0;0;0;0
BERTARELLI Camillo;0;0;1;0;0;0;0;0;0
COLLÉ Henri;0;0;1;0;0;0;0;0;0
MULLER Lode;0;0;1;0;0;0;0;0;0
ARNOULT Maurice;0;0;1;0;0;0;0;0;0
TAILLIEU Odiel;0;0;1;0;0;0;0;0;0
PIEMONTESI Domenico;0;0;1;0;0;0;0;0;0
GREMO Felice;0;0;1;0;0;0;0;0;0
SIERONSKI Herbert;0;0;1;0;0;0;0;0;0
MARCHISIO Luigi;0;0;1;0;0;0;0;0;0
PASTORELLI Pierre;0;0;1;0;0;0;0;0;0
BETTINI Decimo;0;0;1;0;0;0;0;0;0
NAISSE Georges;0;0;1;0;0;0;0;0;0
RITSERVELDT Albert;0;0;1;0;0;0;0;0;0
AUREILLE Joseph;0;0;1;0;0;0;0;0;0
DEPREDOMME Prosper;0;0;1;0;0;0;0;0;0
BONNET Marius;0;0;1;0;0;0;0;0;0
ROLLAND Amédée;0;0;1;0;0;0;0;0;0
DE RUYTER Wim;0;0;1;0;0;0;0;0;0
LE NIZERHY Roger;0;0;1;0;0;0;0;0;0
BONINI Valerio;0;0;1;0;0;0;0;0;0
PAPAZIAN Armand;0;0;1;0;0;0;0;0;0
DIERKENS Marcel;0;0;1;0;0;0;0;0;0
BASTIANELLI Hubert;0;0;1;0;0;0;0;0;0
LANGARICA Dalmacio;0;0;1;0;0;0;0;0;0
VAN DEN BREKEL Piet;0;0;1;0;0;0;0;0;0
TOSATO Mario;0;0;1;0;0;0;0;0;0
LUYTEN Rik;0;0;1;0;0;0;0;0;0
MENEGHINI Orphée;0;0;1;0;0;0;0;0;0
FABBRI Nello;0;0;1;0;0;0;0;0;0
DOOM Daniel;0;0;1;0;0;0;0;0;0
MAGNANI Franco;0;0;1;0;0;0;0;0;0
BIHOUÉE Edouard;0;0;1;0;0;0;0;0;0
RAMSBOTTOM Alan;0;0;1;0;0;0;0;0;0
TACCONE Vito;0;0;1;0;0;0;0;0;0
DENSON Vin;0;0;1;0;0;0;0;0;0
FERRER Hubert;0;0;1;0;0;0;0;0;0
HAELTERMAN Julien;0;0;1;0;0;0;0;0;0
DE ROSSO Guido;0;0;1;0;0;0;0;0;0
BENET Maurice;0;0;1;0;0;0;0;0;0
JACQUEMIN Michel;0;0;1;0;0;0;0;0;0
BOLLEY Serge;0;0;1;0;0;0;0;0;0
SPUHLER Willy;0;0;1;0;0;0;0;0;0
HARRISON Derek;0;0;1;0;0;0;0;0;0
MASCARÓ Gabriel;0;0;1;0;0;0;0;0;0
GUTTY Paul;0;0;1;0;0;0;0;0;0
BEYSSENS Herman;0;0;1;0;0;0;0;0;0
DI LORENZO Gianni;0;0;1;0;0;0;0;0;0
POIRIER Christian;0;0;1;0;0;0;0;0;0
DONADELLO Aldo;0;0;1;0;0;0;0;0;0
TOSO Jean-Raymond;0;0;1;0;0;0;0;0;0
GISIGER Daniel;0;0;1;0;0;0;0;0;0
URBANY Eugène;0;0;1;0;0;0;0;0;0
LE GUILLOUX Maurice;0;0;1;0;0;0;0;0;0
DILL-BUNDI Robert;0;0;1;0;0;0;0;0;0
BIONDI Laurent;0;0;1;0;0;0;0;0;0
POELS Twan;0;0;1;0;0;0;0;0;0
VAN HOLEN Ronny;0;0;1;0;0;0;0;0;0
VERSCHUEREN Patrick;0;0;1;0;0;0;0;0;0
ALLOCCHIO Stefano;0;0;1;0;0;0;0;0;0
ACHERMANN Alfred;0;0;1;0;0;0;0;0;0
BOUVATIER Philippe;0;0;1;0;0;0;0;0;0
HEYNDERICKX Jean-Pierre;0;0;1;0;0;0;0;0;0
WILSON Michael;0;0;1;0;0;0;0;0;0
ROES Peter;0;0;1;0;0;0;0;0;0
GIOVANNETTI Marco;0;0;1;0;0;0;0;0;0
PEDERSEN Per;0;0;1;0;0;0;0;0;0
BOYER Éric;0;0;1;0;0;0;0;0;0
ZHDANOV Dimitri;0;0;1;0;0;0;0;0;0
HODGE Stephen;0;0;1;0;0;0;0;0;0
PELLICCIOLI Oscar;0;0;1;0;0;0;0;0;0
BÖLTS Udo;0;0;1;0;0;0;0;0;0
BOTTARO Dario;0;0;1;0;0;0;0;0;0
LUTTENBERGER Peter;0;0;1;0;0;0;0;0;0
VAN PETEGEM Peter;0;0;1;0;0;0;0;0;0
SALIGARI Marco;0;0;1;0;0;0;0;0;0
BARTHE Stéphane;0;0;1;0;0;0;0;0;0
VIDAL José Ángel;0;0;1;0;0;0;0;0;0
GUIDI Fabrizio;0;0;1;0;0;0;0;0;0
NOZAL Isidro;0;0;1;0;0;0;0;0;0
KRIVTSOV Yuriy;0;0;1;0;0;0;0;0;0
KARPETS Vladimir;0;0;1;0;0;0;0;0;1
GUTIÉRREZ José Iván;0;0;1;0;0;0;0;0;0
VICIOSO Ángel;0;0;1;0;0;0;0;0;0
CAUCCHIOLI Pietro;0;0;1;0;0;0;0;0;0
ISASI Iñaki;0;0;1;0;0;0;0;0;0
SCHOLZ Ronny;0;0;1;0;0;0;0;0;0
DE LA FUENTE David;0;0;1;0;0;0;0;0;0
FISCHER Murilo Antonio;0;0;1;0;0;0;0;0;0
PATE Danny;0;0;1;0;0;0;0;0;0
ARROYO David;0;0;1;0;0;0;0;0;0
LEMOINE Cyril;0;0;1;0;0;0;0;0;0
FRÖHLINGER Johannes;0;0;1;0;0;0;0;0;0
ROULSTON Hayden;0;0;1;0;0;0;0;0;0
WEGMANN Fabian;0;0;1;0;0;0;0;0;0
PÉREZ Aitor;0;0;1;0;0;0;0;0;0
GRABSCH Bert;0;0;1;0;0;0;0;0;0
JEANNESSON Arnold;0;0;1;0;0;0;0;0;0
MOSER Moreno;0;0;1;0;0;0;0;0;0
BÁRTA Jan;0;0;1;0;0;0;0;0;0
OLIVEIRA Nelson;0;0;1;0;0;0;0;0;0
ENGER Sondre Holst;0;0;1;0;0;0;0;0;0
KEUKELEIRE Jens;0;0;1;0;0;0;0;0;0
MEURISSE Xandro;0;0;1;0;0;0;0;0;0
TRATNIK Jan;0;0;1;0;0;0;0;0;0
MÜHLBERGER Gregor;0;0;1;0;0;0;0;0;0
SCHACHMANN Maximilian;0;0;1;0;0;0;0;0;0
CONSONNI Simone;0;0;1;0;0;0;0;0;0
SWEENY Harry;0;0;1;0;0;0;0;0;0
MCNULTY Brandon;0;0;1;0;0;0;0;0;0
DAINESE Alberto;0;0;1;0;0;0;0;0;0
AYUSO Juan;0;0;1;0;0;0;0;0;0
GEE Derek;0;0;1;0;0;0;0;0;0
BRULÉ André;0;0;0;3;3;0;0;0;0
VAN EST Piet;0;0;0;3;3;0;0;0;0
HINAULT Sébastien;0;0;0;3;3;0;0;0;0
POWLESS Neilson;0;0;0;3;1;0;0;0;0
LESUEUR Raoul;0;0;0;3;0;0;0;0;0
KREUZIGER Roman;0;0;0;2;3;0;0;0;0
GOTTI Ivan;0;0;0;2;2;0;0;0;0
PAOLINI Luca;0;0;0;2;2;0;0;0;0
VAN DEN BROECK Jurgen;0;0;0;2;2;0;0;0;0
DEBUSSCHERE Jean;0;0;0;2;1;0;0;0;0
VAN BRUAENE Armand;0;0;0;2;1;0;0;0;0
KIRCHEN Jean;0;0;0;2;1;0;0;0;0
VANDENBRANDE Jean-Philippe;0;0;0;2;1;0;0;0;0
LOUVIOT Philippe;0;0;0;2;1;0;0;0;0
KAPPES Andreas;0;0;0;2;1;0;0;0;0
HEULOT Stéphane;0;0;0;2;1;0;0;0;0
CASAGRANDE Francesco;0;0;0;2;1;0;0;0;0
WYNSDAU Théodore;0;0;0;2;0;0;0;0;0
HARDY Émile;0;0;0;2;0;0;0;0;0
STACH Georg;0;0;0;2;0;0;0;0;0
AUSENDA Giuseppe;0;0;0;2;0;0;0;0;0
BAYSSIÈRE André;0;0;0;2;0;0;0;0;0
PEELMAN Eddy;0;0;0;2;0;0;0;0;0
TSCHAN Jürgen;0;0;0;2;0;0;0;0;0
MARTOS Antonio;0;0;0;2;0;0;0;0;0
SANTY Alain;0;0;0;2;0;0;0;0;0
MONTOYA Reynel;0;0;0;2;0;0;0;0;0
CUESTA Iñigo;0;0;0;2;0;0;0;0;0
TEUTENBERG Sven;0;0;0;2;0;0;0;0;0
LE MÉVEL Christophe;0;0;0;2;0;0;0;0;0
QUINZIATO Manuel;0;0;0;2;0;0;0;0;0
COPPEL Jérôme;0;0;0;2;0;0;0;0;0
DE PLUS Laurens;0;0;0;2;0;0;0;0;0
COOMANS Jacques;0;0;0;1;6;0;0;0;0
ENGEL Louis;0;0;0;1;3;0;0;0;0
GORDINI Michele;0;0;0;1;3;0;0;0;0
LEBAUBE Jean-Claude;0;0;0;1;3;0;0;0;0
HAAST Cees;0;0;0;1;3;0;0;0;0
SALMON Félicien;0;0;0;1;2;0;0;0;0
VIARENGO Amulio;0;0;0;1;2;0;0;0;0
RENAUD Marcel;0;0;0;1;2;0;0;0;0
PEDRONI Silvio;0;0;0;1;2;0;0;0;0
DESMET Armand;0;0;0;1;2;0;0;0;0
ELORZA Sebastián;0;0;0;1;2;0;0;0;0
VAN VLIET Teun;0;0;0;1;2;0;0;0;0
MAURI Melchor;0;0;0;1;2;0;0;0;0
TCHMIL Andrei;0;0;0;1;2;0;0;0;0
ARRIETA José Luis;0;0;0;1;2;0;0;0;0
CARUSO Damiano;0;0;0;1;2;0;0;0;0
FISCHER Jean;0;0;0;1;1;0;0;0;0
BÜCHI Albert;0;0;0;1;1;0;0;0;0
LACHAT Georges;0;0;0;1;1;0;0;0;0
BERTY Charles;0;0;0;1;1;0;0;0;0
LEMARIÉ Raymond;0;0;0;1;1;0;0;0;0
GOUJON Jean;0;0;0;1;1;0;0;0;0
RICCI Mario;0;0;0;1;1;0;0;0;0
GELABERT Antonio;0;0;0;1;1;0;0;0;0
RENAUD Jacques;0;0;0;1;1;0;0;0;0
BULTEL Bernard;0;0;0;1;1;0;0;0;0
TELOTTE Eugène;0;0;0;1;1;0;0;0;0
SIGUENZA Francis;0;0;0;1;1;0;0;0;0
ERNZER Marcel;0;0;0;1;1;0;0;0;0
CHRISTIAN Adolf;0;0;0;1;1;0;0;0;0
MILESI Jean;0;0;0;1;1;0;0;0;0
ROSTOLLAN Louis;0;0;0;1;1;0;0;0;0
GELDERMANS Ab;0;0;0;1;1;0;0;0;0
ZAMBONI Adriano;0;0;0;1;1;0;0;0;0
GROUSSARD Georges;0;0;0;1;1;0;0;0;0
VAN TONGERLOO Guillaume;0;0;0;1;1;0;0;0;0
DE WOLF Henri;0;0;0;1;1;0;0;0;0
PERURENA Domingo;0;0;0;1;1;0;0;1;0
SCHEPERS Wim;0;0;0;1;1;0;0;0;0
SAN MIGUEL Gregorio;0;0;0;1;1;0;0;0;0
ZURANO Juan Santiago;0;0;0;1;1;0;0;0;0
BAERT Dirk;0;0;0;1;1;0;0;0;0
NULENS Guy;0;0;0;1;1;0;0;0;0
BOMANS Carlo;0;0;0;1;1;0;0;0;0
STEVENHAAGEN Peter;0;0;0;1;1;0;0;0;0
PERON Andrea;0;0;0;1;1;0;0;0;0
MEINERT-NIELSEN Peter;0;0;0;1;1;0;0;0;0
CASERO Ángel Luis;0;0;0;1;1;0;0;0;0
RINERO Christophe;0;0;0;1;1;0;0;1;0
CAÑADA David;0;0;0;1;1;0;0;0;0
GLOMSER Gerrit;0;0;0;1;1;0;0;0;0
FURLAN Angelo;0;0;0;1;1;0;0;0;0
KOPP David;0;0;0;1;1;0;0;0;0
LARSSON Gustav Erik;0;0;0;1;1;0;0;0;0
KOHL Bernhard;0;0;0;1;1;0;0;1;0
OSS Daniel;0;0;0;1;1;0;0;0;0
GAUTIER Cyril;0;0;0;1;1;0;0;0;0
NAESEN Oliver;0;0;0;1;1;0;0;0;0
KELDERMAN Wilco;0;0;0;1;1;0;0;0;0
GUERREIRO Ruben;0;0;0;1;1;0;0;0;0
GANNA Filippo;0;0;0;1;1;0;0;0;0
GALETTI Carlo;0;0;0;1;0;0;0;0;0
BEAUGENDRE Omer;0;0;0;1;0;0;0;0;0
LAUWERS Alfons;0;0;0;1;0;0;0;0;0
DHULST Vincent;0;0;0;1;0;0;0;0;0
GIRARDENGO Costante;0;0;0;1;0;0;0;0;0
GERBAUD Robert;0;0;0;1;0;0;0;0;0
BELVAUX Jean;0;0;0;1;0;0;0;0;0
COPPENS Paul;0;0;0;1;0;0;0;0;0
MORTIER Benjamin;0;0;0;1;0;0;0;0;0
BOUILLET Francis;0;0;0;1;0;0;0;0;0
DELBECQUE Julien;0;0;0;1;0;0;0;0;0
LALOUP Georges;0;0;0;1;0;0;0;0;0
VIAENE Achille;0;0;0;1;0;0;0;0;0
OPPERMAN Hubert;0;0;0;1;0;0;0;0;0
LE GOFF Eugène;0;0;0;1;0;0;0;0;0
INTROZZI Augusto;0;0;0;1;0;0;0;0;0
MALLET Auguste;0;0;0;1;0;0;0;0;0
PERIKEL Albert;0;0;0;1;0;0;0;0;0
SOFFIETTI Joseph;0;0;0;1;0;0;0;0;0
VOOREN Arie;0;0;0;1;0;0;0;0;0
LATORRE Antoine;0;0;0;1;0;0;0;0;0
LUCAS Raymond;0;0;0;1;0;0;0;0;0
OREEL René;0;0;0;1;0;0;0;0;0
RAMOULUX Georges;0;0;0;1;0;0;0;0;0
JOLY Victor;0;0;0;1;0;0;0;0;0
DEVREESE Alphonse;0;0;0;1;0;0;0;0;0
SPUHLER Heinrich;0;0;0;1;0;0;0;0;0
BRESCI Giulio;0;0;0;1;0;0;0;0;0
BERTAINA Jean;0;0;0;1;0;0;0;0;0
BIANCHI Siro;0;0;0;1;0;0;0;0;0
GROSSO Adolfo;0;0;0;1;0;0;0;0;0
AUDAIRE Armand;0;0;0;1;0;0;0;0;0
SERRA José;0;0;0;1;0;0;0;0;0
GILLES Georges;0;0;0;1;0;0;0;0;0
CLERICI Carlo;0;0;0;1;0;0;0;0;0
GUÉRINEL Émile;0;0;0;1;0;0;0;0;0
ANZILE Ugo;0;0;0;1;0;0;0;0;0
SCHNEIDER Kurt;0;0;0;1;0;0;0;0;0
BAROZZI Danilo;0;0;0;1;0;0;0;0;0
BIANCO Jacques;0;0;0;1;0;0;0;0;0
NASCIMBENE Pietro;0;0;0;1;0;0;0;0;0
FERLENGHI Gianni;0;0;0;1;0;0;0;0;0
TREPP Willy;0;0;0;1;0;0;0;0;0
MOLENAERS Yvo;0;0;0;1;0;0;0;0;0
MANZONI Giancarlo;0;0;0;1;0;0;0;0;0
PACHECO Miguel;0;0;0;1;0;0;0;0;0
ANASTASI Jean;0;0;0;1;0;0;0;0;0
DUEZ Henri;0;0;0;1;0;0;0;0;0
NOVALES Joseph;0;0;0;1;0;0;0;0;0
ZIMMERMANN André;0;0;0;1;0;0;0;0;0
URIONA Valentín;0;0;0;1;0;0;0;0;0
SAÉZ Ramón;0;0;0;1;0;0;0;0;0
RUEGG Alfred;0;0;0;1;0;0;0;0;0
ECHEVERRÍA Carlos;0;0;0;1;0;0;0;0;0
DUCASSE Jean-Pierre;0;0;0;1;0;0;0;0;0
CREPALDI Ottavio;0;0;0;1;0;0;0;0;0
GRELIN René;0;0;0;1;0;0;0;0;0
BALAGUÉ Luis;0;0;0;1;0;0;0;0;0
MOLLET André;0;0;0;1;0;0;0;0;0
BAZZAN Giacomo;0;0;0;1;0;0;0;0;0
ROMERO André;0;0;0;1;0;0;0;0;0
CHALMEL André;0;0;0;1;0;0;0;0;0
CAVERZASI Arnaldo;0;0;0;1;0;0;0;0;0
VERBRUGGE Jacques;0;0;0;1;0;0;0;0;0
DIERICKX André;0;0;0;1;0;0;0;0;0
BECAAS Bernard;0;0;0;1;0;0;0;0;0
WELLENS Léo;0;0;0;1;0;0;0;0;0
TINAZZI Marcel;0;0;0;1;0;0;0;0;0
BEUCHERIE Serge;0;0;0;1;0;0;0;0;0
BECCIA Mario;0;0;0;1;0;0;0;0;0
WAYENBERG Dirk;0;0;0;1;0;0;0;0;0
HERNÁNDEZ Carlos;0;0;0;1;0;0;0;0;0
ROGIERS Rudy;0;0;0;1;0;0;0;0;0
FOREST Robert;0;0;0;1;0;0;0;0;0
CABRERA Samuel;0;0;0;1;0;0;0;0;0
MAS Gilles;0;0;0;1;0;0;0;0;0
RAMIREZ Martin Alonso;0;0;0;1;0;0;0;0;0
VANOTTI Ennio;0;0;0;1;0;0;0;0;0
RONDON Abelardo;0;0;0;1;0;0;0;0;0
VAN HOOYDONCK Edwig;0;0;0;1;0;0;0;0;0
MARTÍNEZ Miguel Ángel;0;0;0;1;0;0;0;0;0
REDANT Hendrik;0;0;0;1;0;0;0;0;0
LEANIZBARRUTIA Alberto;0;0;0;1;0;0;0;0;0
CHIESA Mario;0;0;0;1;0;0;0;0;0
BARTOLI Michele;0;0;0;1;0;0;0;0;0
THIBOUT Bruno;0;0;0;1;0;0;0;0;0
ARTUNGHI Marco;0;0;0;1;0;0;0;0;0
PIEROBON Gianluca;0;0;0;1;0;0;0;0;0
TURICCHIA Alain;0;0;0;1;0;0;0;0;0
DERAME Pascal;0;0;0;1;0;0;0;0;0
BARANOWSKI Dariusz;0;0;0;1;0;0;0;0;0
DE WOLF Steve;0;0;0;1;0;0;0;0;0
LANFRANCHI Paolo;0;0;0;1;0;0;0;0;0
WESEMANN Steffen;0;0;0;1;0;0;0;0;0
KOERTS Jans;0;0;0;1;0;0;0;0;0
TRENTIN Guido;0;0;0;1;0;0;0;0;0
HAUPTMAN Andrej;0;0;0;1;0;0;0;0;0
CASAGRANDA Stefano;0;0;0;1;0;0;0;0;0
RENIER Franck;0;0;0;1;0;0;0;0;0
AZEVEDO José Bento;0;0;0;1;0;0;0;0;0
JOLY Sébastien;0;0;0;1;0;0;0;0;0
TRENTI Guido;0;0;0;1;0;0;0;0;0
KASHECHKIN Andrey;0;0;0;1;0;0;0;0;0
LONGO BORGHINI Paolo;0;0;0;1;0;0;0;0;0
MOERENHOUT Koos;0;0;0;1;0;0;0;0;0
NOCENTINI Rinaldo;0;0;0;1;0;0;0;0;0
MAASKANT Martijn;0;0;0;1;0;0;0;0;0
MONDORY Lloyd;0;0;0;1;0;0;0;0;0
KONOVALOVAS Ignatas;0;0;0;1;0;0;0;0;0
ROELANDTS Jürgen;0;0;0;1;0;0;0;0;0
GALIMZYANOV Denis;0;0;0;1;0;0;0;0;0
BAK Lars Ytting;0;0;0;1;0;0;0;0;0
EL FARES Julien;0;0;0;1;0;0;0;0;0
VAN HUMMEL Kenny;0;0;0;1;0;0;0;0;0
CIMOLAI Davide;0;0;0;1;0;0;0;0;0
MORENO Daniel;0;0;0;1;0;0;0;0;0
GENIEZ Alexandre;0;0;0;1;0;0;0;0;0
SERPA José Rodolfo;0;0;0;1;0;0;0;0;0
CLEMENT Stef;0;0;0;1;0;0;0;0;0
ĐURASEK Kristijan;0;0;0;1;0;0;0;0;0
SELIG Rüdiger;0;0;0;1;0;0;0;0;0
VALGREN Michael;0;0;0;1;0;0;0;0;0
RICHEZE Maximiliano;0;0;0;1;0;0;0;0;0
HOFSTETTER Hugo;0;0;0;1;0;0;0;0;0
SIVAKOV Pavel;0;0;0;1;0;0;0;0;0
HAIG Jack;0;0;0;1;0;0;0;0;0
BALLERINI Davide;0;0;0;1;0;0;0;0;0
GARCÍA CORTINA Iván;0;0;0;1;0;0;0;0;0
PÉRICHON Pierre-Luc;0;0;0;1;0;0;0;0;0
KRON Andreas;0;0;0;1;0;0;0;0;0
SOLER Marc;0;0;0;1;0;0;0;0;0
SÉNÉCHAL Florian;0;0;0;1;0;0;0;0;0
MOZZATO Luca;0;0;0;1;0;0;0;0;0
NEILANDS Krists;0;0;0;1;0;0;0;0;0
CRADDOCK Lawson;0;0;0;1;0;0;0;0;0
RODRÍGUEZ Cristián;0;0;0;1;0;0;0;0;0
ARANBURU Alex;0;0;0;1;0;0;0;0;0
DESPONTIN Léon;0;0;0;0;4;0;0;0;0
SCHEPERS Eddy;0;0;0;0;4;0;0;0;0
CAPELLE Christophe;0;0;0;0;4;0;0;0;0
WALKOWIAK Roger;0;0;0;0;3;1;0;0;0
BETTINI Aldo;0;0;0;0;3;0;0;0;0
BERTOGLIO Fausto;0;0;0;0;3;0;0;0;0
CASSANI Davide;0;0;0;0;3;0;0;0;0
FERRARI Roberto;0;0;0;0;3;0;0;0;0
WATTELIER Edouard;0;0;0;0;2;0;0;0;0
CATTEAU Aloïs;0;0;0;0;2;0;0;0;0
LOUESSE Désiré;0;0;0;0;2;0;0;0;0
RIMOLDI Pietro;0;0;0;0;2;0;0;0;0
DELTOUR Hubert;0;0;0;0;2;0;0;0;0
ZAAF Abdel-Kader;0;0;0;0;2;0;0;0;0
DE HERTOG Aloïs;0;0;0;0;2;0;0;0;0
PIANEZZI Remo;0;0;0;0;2;0;0;0;0
DOLHATS Albert;0;0;0;0;2;0;0;0;0
BARONE Nicolas;0;0;0;0;2;0;0;0;0
STREHLER René;0;0;0;0;2;0;0;0;0
SUÁREZ Antonio;0;0;0;0;2;0;0;0;0
KUNDE Karl-Heinz;0;0;0;0;2;0;0;0;0
VAN KATWIJK Jan;0;0;0;0;2;0;0;0;0
BÉON Patrick;0;0;0;0;2;0;0;0;0
GIULIANI Donato;0;0;0;0;2;0;0;0;0
SHERWEN Paul;0;0;0;0;2;0;0;0;0
DE MUYNCK Johan;0;0;0;0;2;0;0;0;0
DEVOS Hendrik;0;0;0;0;2;0;0;0;0
BELTRÁN Manuel;0;0;0;0;2;0;0;0;0
VAN HEESWIJK Max;0;0;0;0;2;0;0;0;0
SEVILLA Óscar;0;0;0;0;2;0;0;0;1
GRIVKO Andrey;0;0;0;0;2;0;0;0;0
KNEES Christian;0;0;0;0;2;0;0;0;0
BONNET William;0;0;0;0;2;0;0;0;0
THEUNS Edward;0;0;0;0;2;0;0;0;0
BONNAMOUR Franck;0;0;0;0;2;0;0;0;0
ALMEIDA João;0;0;0;0;2;0;0;0;0
GARIN Ambroise;0;0;0;0;1;0;0;0;0
FAURE Antoine;0;0;0;0;1;0;0;0;0
JOUSSELIN Philippe;0;0;0;0;1;0;0;0;0
FOURCHOTTE Germain;0;0;0;0;1;0;0;0;0
CHAUVET Paul;0;0;0;0;1;0;0;0;0
PAVESI Eberardo;0;0;0;0;1;0;0;0;0
RICAUX Ernest;0;0;0;0;1;0;0;0;0
PRIVAT Pierre;0;0;0;0;1;0;0;0;0
CANEPARI Clemente;0;0;0;0;1;0;0;0;0
LAFOURCADE François;0;0;0;0;1;0;0;0;0
FAURE Alfred;0;0;0;0;1;0;0;0;0
DELOFFRE Jules;0;0;0;0;1;0;0;0;0
ERBA Angelo;0;0;0;0;1;0;0;0;0
PELLETIER José;0;0;0;0;1;0;0;0;0
BOTTÉ Camille;0;0;0;0;1;0;0;0;0
HUYVAERT Jules;0;0;0;0;1;0;0;0;0
RICH Lucien;0;0;0;0;1;0;0;0;0
VALLAZZA Ermanno;0;0;0;0;1;0;0;0;0
PICCIN Alfonso;0;0;0;0;1;0;0;0;0
BROSTEAUX Georges;0;0;0;0;1;0;0;0;0
DEVAUCHELLE André;0;0;0;0;1;0;0;0;0
NEUHARD Ernest;0;0;0;0;1;0;0;0;0
BARTHÉLÉMY Albert;0;0;0;0;1;0;0;0;0
BERTON Georges;0;0;0;0;1;0;0;0;0
ALTENBURGER Karl;0;0;0;0;1;0;0;0;0
SIEGEL Alfred;0;0;0;0;1;0;0;0;0
GOEDHUYS Julius;0;0;0;0;1;0;0;0;0
PIPOZ Roger;0;0;0;0;1;0;0;0;0
GARCIA Manuel;0;0;0;0;1;0;0;0;0
LADRON Théodore;0;0;0;0;1;0;0;0;0
LAURENT Marcel;0;0;0;0;1;0;0;0;0
BIDINGER Lucien;0;0;0;0;1;0;0;0;0
YELAMOS Trino;0;0;0;0;1;0;0;0;0
AUDIER Gaston;0;0;0;0;1;0;0;0;0
BARRET René;0;0;0;0;1;0;0;0;0
MATHYS Lucien;0;0;0;0;1;0;0;0;0
MARTIN Georges;0;0;0;0;1;0;0;0;0
CHAPATTE Robert;0;0;0;0;1;0;0;0;0
HUBER Marcel;0;0;0;0;1;0;0;0;0
CIELESKA Jean-Marie;0;0;0;0;1;0;0;0;0
CANAVESE Antonin;0;0;0;0;1;0;0;0;0
PÉREZ LLÁCER José;0;0;0;0;1;0;0;0;0
DUPONT Jacques;0;0;0;0;1;0;0;0;0
LABERTONNIÈRE Jean-Jacques;0;0;0;0;1;0;0;0;0
ROTTA René;0;0;0;0;1;0;0;0;0
CHAUSSABEL Roger;0;0;0;0;1;0;0;0;0
STOLKER Michel;0;0;0;0;1;0;0;0;0
HUOT Valentin;0;0;0;0;1;0;0;0;0
SCRIBANTE Pierre;0;0;0;0;1;0;0;0;0
DE JONGH Piet;0;0;0;0;1;0;0;0;0
BRENIOLI Rizzardo;0;0;0;0;1;0;0;0;0
GALDEANO Jesús;0;0;0;0;1;0;0;0;0
ANDRESEN Hans Edmund;0;0;0;0;1;0;0;0;0
GISMONDI Michele;0;0;0;0;1;0;0;0;0
LE MENN Camille;0;0;0;0;1;0;0;0;0
CLOAREC André;0;0;0;0;1;0;0;0;0
PUSCHEL Dieter;0;0;0;0;1;0;0;0;0
ACCORDI Renzo;0;0;0;0;1;0;0;0;0
WESTDORP Jan;0;0;0;0;1;0;0;0;0
SCHROEDERS Willy;0;0;0;0;1;0;0;0;0
GENTINA Giancarlo;0;0;0;0;1;0;0;0;0
TONUCCI Giuseppe;0;0;0;0;1;0;0;0;0
SIMON Jean;0;0;0;0;1;0;0;0;0
ENTHOVEN Dick;0;0;0;0;1;0;0;0;0
BARRUTIA Antonio;0;0;0;0;1;0;0;0;0
DE SMET Gilbert;0;0;0;0;1;0;0;0;0
CASTELLO Eduardo;0;0;0;0;1;0;0;0;0
SOLER Angelino;0;0;0;0;1;0;0;0;0
WOUTERS Rik;0;0;0;0;1;0;0;0;0
HARINGS Huub;0;0;0;0;1;0;0;0;0
VANCONINGSLOO Georges;0;0;0;0;1;0;0;0;0
OLDENBURG Horst;0;0;0;0;1;0;0;0;0
ALOMAR Jaime;0;0;0;0;1;0;0;0;0
HILL Peter;0;0;0;0;1;0;0;0;0
POLIDORI Giancarlo;0;0;0;0;1;0;0;0;0
MONTEYNE Jean;0;0;0;0;1;0;0;0;0
